id,VehicleModel,VehicleBody
1727,Opirus,Saloon
1728,Opirus,Sedan
1729,Oprius,Saloon
1730,Oprius,Sedan
1731,Optima,Saloon
1732,Optima,Sedan
1733,Optima Turbo,Saloon
1734,Optima Turbo,Sedan
1735,Picanto,Hatchback
1736,Picanto,Saloon
1737,Picanto,Sedan
1738,Pregio Van,Pick-Up
1739,Quoris,Saloon
1740,Quoris,Sedan
1741,Rio,Hatchback
1742,Rio,Saloon
1743,Rio,Sedan
1744,Sedona,Station
1745,Sedona,SUV
1746,Shuma,Sedan
1747,Sorento,SUV
1748,Soul,Hatchback
1749,Soul,Saloon
1750,Soul,Sedan
1751,Sportage,SUV
1752,Telluride,SUV
1753,Cpcd40aa Fork Lift,Fork Lift
1754,Cargo,Coupe
1755,Cargo,MPV
1756,Cargo,Van
1757,King Longxmq6858,Bus
1758,King Longxmq6858,Mini Bus
1759,Xmq6128y,Bus
1760,Xmq6532feg2,MPV
1761,Xmq6532feg2,Van
1762,Mr130zevo2,Crusher
1763,Kr806-3d,Piling & Drilling
1764,Rk250,Mobile Crane
1765,Sk 480,Excavator
1766,Bulldozer,Bulldozer Crawler
1767,Dump Truck,Dump Truck
1768,Dump Truck,Dumper
1769,Dump Truck,Truck
1770,Excavator,Crawler Excavator
1771,Excavator,Truck
1772,Fd 25t-14,Fork Lift
1773,Fd 25t-14,Forklift Wheel
1774,Fd 30,Fork Lift
1775,Fd 30,Forklift Wheel
1776,Fd 70-7,Fork Lift
1777,Fd 70-7,Forklift Wheel
1778,Fd 70-7,Mobile Crane
1779,Fd30ht 17,Forklift
1780,Fd50at,Forklift Wheel
1781,Fork Lift,Forklift Wheel
1782,Fork Lift,Pick-Up With Fork Lift
1783,Fork Lift,Tanker
1784,Forklift Fd25,Fork Lift
1785,Hd 325-6,Tipper
1786,Komatsu D575,Drill
1787,Pc 400-8r,Excavator
1788,Pc400,Drill
1789,Pc400,Excavator
1790,Shovel,Shovel Loader
1791,Shovel,Shovel Wheel Loader
1792,Wa 470,Wheel Loader
1793,Wa470-5,Wheel Loader
1794,Wheel Loader,Shovel Loader
1795,Wheel Loader,Shovel Wheel Loader
1796,Wheel Loader,Truck
1797,200 Exc,Mobike
1798,200 Exc,Unknown
1799,390 Duke,Mobike
1800,Duke,Mobike
1801,Mobike,Mobike
1802,Pick-Up,Pick-Up Double Cabin
1803,Xciting R,Mobike
1804,Niva,SUV
1805,Aventador,Coupe
1806,Diablo Vt,Coupe
1807,Gallardo,Convertible
1808,Gallardo,Coupe
1809,Gallardo,Saloon
1810,Huracan,Coupe
1811,Murcielago,Coupe
1812,Urus,SUV
1813,101,Jeep
1814,Defender,SUV
1815,Defender,Unknown
1816,Discovery,Station
1817,Discovery,Station Wagon
1818,Discovery,SUV
1819,Discovery Sport,SUV
1820,Free Lander,SUV
1821,Freelander,Station Wagon
1822,L 320,Station
1823,L 320,SUV
1824,Lr2,Station
1825,Lr2,Station Wagon
1826,Lr2,SUV
1827,Lr3,Station
1828,Lr3,SUV
1829,Lr4,SUV
1830,New Range Rover,SUV
1831,Range Rover,SUV
1832,Range Rover Evoque,SUV
1833,Range Rover Evouque,SUV
1834,Range Rover Sport,SUV
1835,Range Rover Velar,SUV
1836,Ct 200h,Hatchback
1837,Es 300,Saloon
1838,Es 300,Sedan
1839,Es 300,Unknown
1840,Es 330,Saloon
1841,Es 330,Sedan
1842,Es 350,Saloon
1843,Es 350,Sedan
1844,Es250,Coupe
1845,Es250,Saloon
1846,Es250,Sedan
1847,Gs 250,Sedan
1848,Gs 300,Saloon
1849,Gs 300,Sedan
1850,Gs 300,Unknown
1851,Gs 350,Sedan
1852,Gs 400,Sedan
1853,Gs 430,Sedan
1854,Gs 450 H,Sedan
1855,Gs 460,Saloon
1856,Gs F,Sedan
1857,Gs200t,Sedan
1858,Gs250,Saloon
1859,Gs350,Saloon
1860,Gs430,Saloon
1861,Gs460,Sedan
1862,Gx 470,SUV
1863,Gx 470,Unknown
1864,Gx460,SUV
1865,Is 250,Sedan
1866,Is 250,Unknown
1867,Is 300,Saloon
1868,Is 300,Sedan
1869,Is 300,Unknown
1870,Is 300 C,Coupe
1871,Is 350,Saloon
1872,Is 350,Sedan
1873,Is F,Sedan
1874,Is200t,Sedan
1875,Is250,Saloon
1876,Is300,Coupe
1877,Is300c,Cabriolet
1878,Is-F?,Sedan
1879,Lc500h,Coupe
1880,Ls 400,Saloon
1881,Ls 400,Sedan
1882,Ls 430,Saloon
1883,Ls 430,Sedan
1884,Ls 430,Unknown
1885,Ls 460,Saloon
1886,Ls 460,Sedan
1887,Ls 600,Saloon
1888,Ls 600,Sedan
1889,Ls430,Truck
1890,Ls430,Unknown
1891,Ls460,Coupe
1892,Ls500h,Sedan
1893,Ls600h,Sedan
1894,Lx 470,SUV
1895,Lx 570,Saloon
1896,Lx 570,SUV
1897,Lx450,SUV
1898,Lx470,Station
1899,Lx570,SUV
1900,Nx 200t,Station Wagon
1901,Nx 200t,SUV
1902,Nx300,SUV
1903,Rc,Coupe
1904,Rc F,Coupe
1905,Rc200t,Coupe
1906,Rc350,Coupe
1907,Rx 300,"Saloon, S/W"
1908,Rx 300,Station Wagon
1909,Rx 300,SUV
1910,Rx 330,Saloon
1911,Rx 330,Station Wagon
1912,Rx 330,SUV
1913,Rx 350,Station Wagon
1914,Rx 350,SUV
1915,Rx 350,Unknown
1916,Rx 450,SUV
1917,Rx330,Station
1918,Rx350,SUV
1919,Rx450h,SUV
1920,Sc 300,Coupe
1921,Sc 430,Coupe
1922,Sc430,Cabriolet
1923,Sc430,Convertible
1924,Se 300,Saloon
1925,Se 300,Sedan
1926,Ux200,SUV
1927,Crane,Crawler Crane
1928,Continental Reserve,Sedan
1929,Mkc,Station Wagon
1930,Mkc,SUV
1931,Mks,Saloon
1932,Mks,Sedan
1933,Mkt,Bus
1934,Mkt,Station
1935,Mkt,SUV
1936,Mk-T,Station Wagon
1937,Mkx,SUV
1938,Mkz,Saloon
1939,Mkz,Sedan
1940,Nautilus,SUV
1941,Navigator,SUV
1942,Navigator  El,SUV
1943,Town Car,Saloon
1944,Town Car,Sedan
1945,Fork Lift,Fork Lift Wheel
1946,Trailer,Cement Tanker
1947,Trailer,Diesel Tanker
1948,Trailer,Tanker
1949,Trailer,Trailer Flat
1950,Trailer,Trailer With Crane
1951,Lg 30dt,Fork Lift
1952,2 Eleven,Coupe
1953,Evora,Coupe
1954,Exige,Coupe
1955,Exige,Coupe/Cabriolet
1956,Exige,Coupe/Convertible
1957,Exige S,Coupe
1958,7,Station Wagon
1959,7,SUV
1960,U6,SUV
1961,U7,Station Wagon
1962,U7,SUV
1963,373-38,Drilling Rig
1964,Concrete Mixer,Concrete Mixer
1965,Concrete Pump,Concrete Pump
1966,T.G.M. 18.240,Truck With Crane
1967,Tga33.440,Soil Testing Lab
1968,Tga33.440,Truck
1969,Tgm18.240,Truck
1970,Tipper Trailer,Tipper Trailer
1971,Tipper Truck,Tipper
1972,Tractor Unit,Tractor
1973,Trailer,Fuel Tanker
1974,Trailer,Mixer
