ID,NAME,VEH_TYPE_ID
24039,SR N/AVIGATION,13793
16704,STD,13801
16692,ELEGANCE,13796
16690,COMFORT,13796
16691,LUXURY,13796
16711,STD,13806
20712,PLATINUM,20711
20713,LUXURY,20711
16696,LUXURY,13799
16697,L,13799
16698,DI,13799
16699,STD,13799
16700,PERFORMANCE,13799
16701,BASE,13799
16702,DVD N/AVIGATION,13799
23834,PREMIUM LUXURY,13799
16706,STD,13803
24528,CHAMPIONSHIP EDITION,13803
16710,STD,13805
16703,BASE,13800
16676,EXT,13792
16677,SPORT EDITION,13792
16678,ESV PREMIUM,13792
16679,ESV,13792
16680,PREMIUM,13792
16681,ESV PLATINUM,13792
16682,PLATINUM,13792
16683,STD,13792
24281,ESV PREMIUM LUXURY,13792
16705,STD,13802
16687,LUXURY,13795
16688,BASE,13795
16689,STD,13795
16693,STD,13797
16694,LUXURY,13797
16695,STD,13798
16686,STD,13794
20734,STD,20733
25737,LUXURY,20733
25738,PREMIUM LUXURY,20733
25739,STD,20733
16707,PLATINUM,13804
16708,V SPORT,13804
16709,LUXURY,13804
20510,STD,13804
24846,640i LUXURY LINE,18080
24848,640i SPORT LINE,18080
25043,640i M SPORT,18080
23920,FIRST EDITION,18078
23668,ELITE,17918
23808,LUXURY,17918
24645,FASHION,17917
24048,ELITE,17917
24157,STD,17927
21209,STD,21208
24984,PERFORMANCE,18035
23859,LUXURY,18035
24069,TURBO ENJOY PLUS,17959
24439,TURBO INOVATION,17959
25177,STD,18036
24831,AMG,18038
24338,STD,18037
16764,COMFORT,13826
16765,LUXURY,13826
16767,COMFORT,13828
16768,LUXURY,13828
16769,STD,13829
16770,STD,13830
16771,STD,13831
16763,STD,13825
16766,STD,13827
16876,STD,13850
16824,LTZ WHITEDIAMOND,13839
16825,LT SATN/AV,13839
16826,LTZ SATN/AV,13839
16827,STD,13839
16828,LTZ,13839
16829,LT  Z71,13839
16845,STD,13842
16846,BASE,13842
16847,LS,13842
16848,LT,13842
16867,LS,13847
16868,LT,13847
16896,STD,13857
16917,STD,13861
16835,STD,13841
16836,ZL1,13841
16837,SS,13841
16838,LT2,13841
16839,LT S\/R,13841
16840,SS  S\/R,13841
16841,RS,13841
16842,ZL ,13841
16843,LT,13841
16844,LTZ,13841
24127,LT2 S/R N/AV,13841
25277,LT2 N/AV LTH,13841
25289,ZL1 CARBON FIBER,13841
23630,LT2 50TH ANNIVERSARY,13841
23749,LT N/AVIGATION,13841
24033,SS 50TH ANNIVERSARY,13841
16849,ROYALE,13843
16850,ROYALE  N/AV,13843
16851,STD,13843
16852,LTZ,13843
16853,LS,13843
16854,SS,13843
16779,LS,13836
16780,LTZ,13836
16781,LT,13836
16773,LS,13833
24801,STD,17883
16895,CREW\/CAB 4WD,13856
16897,Z51 COMPETITION SEATS,13858
16898,2LT APPEARANCE PACK,13858
16899,C5,13858
16900,3LT ZF1,13858
16901,GRAND SPORT,13858
16902,Z06,13858
16903,3LT,13858
16904,ZR1,13858
16905,CENTENIAL EDITION,13858
16906,Z07 CHROME,13858
16907,Z51,13858
16908,C6,13858
16909,2LT,13858
16910,Z07 CARBON FIBRE,13858
16911,Z07,13858
25272,GRAND SPORT Z15,13858
25282,Z07 65 EDITION,13858
16830,LT A\/W LTHR,13840
16831,LT,13840
16832,LT A\/W,13840
16833,LS,13840
16834,LS A\/W ABS,13840
16912,CR8,13859
16865,LS,13846
16866,LT,13846
21069,LT,21068
16918,STD,13862
16774,STD,13834
16775,LTZ,13834
16776,LS,13834
16777,LT,13834
25255,LTZ BLACK EDITION,13834
16913,LTZ,13860
16914,S,13860
16915,SS,13860
16916,LS,13860
16880,STD,13852
16881,LT1,13852
16882,LTZ LTH,13852
16883,LT2,13852
16884,LS,13852
16885,LTZ,13852
16886,LTZ CLOTH,13852
25256,LT1 LTH,13852
24128,LS AW,13852
24225,LTZ2 N/AV SFTY,13852
24662,LTZ2 N/AV LTH,13852
24040,LTZ N/AVIGATION,13852
16864,LS,13845
24149,PREMIER,17926
24516,RESERVE,17926
23788,SELECT,17926
16782,1500 REG\/CAB WORKTRUCK,13837
16783,1500 EXT\/CAB WORKTRUCK,13837
16784,1500 CREW\/CAB\/SUNR\/REVCAM,13837
16785,3500 CREW\/CAB HIGH COUNTRY,13837
16786,3500 CREW\/CAB,13837
16787,2500HD,13837
16788,1500 EXT\/CAB,13837
16789,3500 EXT\/CAB LONG BOX,13837
16790,2500 REG\/CAB LT Z71 LONG,13837
16791,1500 EXT\/CAB CLOTH,13837
16792,3500 EXT\/CAB,13837
16793,3500 CREW\/CAB LTZ LONG,13837
16794,1500 REG\/CAB,13837
16795,2500 REG\/CAB,13837
16796,1500 REG\/CAB LTZ LTH,13837
16797,2500 EXT\/CAB,13837
16798,1500 CREW\/CAB LT,13837
16799,1500 REG\/CAB LT,13837
16800,2500 CREW\/CAB,13837
16801,1500 CREW\/CAB CLOTH,13837
16802,1500 CREW\/CAB Z71 LTZ,13837
16803,1500 REG\/CAB LT Z71 CLOTH,13837
16804,2500HD EXT\/CAB LT1 Z71,13837
16805,2500 CREW\/CAB LT Z71,13837
16806,1500,13837
16807,3500 REG\/CAB,13837
16808,1500 EXT\/CAB LTZ LTH,13837
16809,1500 CREW\/CAB WORKTRUCK,13837
16810,1500 CREW\/CAB HIGH COUNTRY,13837
16811,2500 CREW\/CAB LT Z71 LONG,13837
16812,1500 CREW\/CAB,13837
25276,3500 CREW/CAB LT LONG BOX,13837
25284,1500 REG/CAB LT1 N/AV,13837
25287,1500 CREW/CAB LTZ,13837
24886,1500 REG/CAB BLACK EDITION,13837
24958,2500 REG/CAB LONGBOX LT,13837
23981,1500 CREWCAB LT2 Z71,13837
16872,LT,13849
16873,GLS,13849
16874,LS,13849
16875,BASE,13849
16869,BASE,13848
16870,GLS,13848
16871,LS,13848
25144,LT,13848
16894,STD,13855
16855,LT,13844
16856,WHITE DIAMOND,13844
16857,LS 2500,13844
16858,LT DVD N/AVIGATION,13844
16859,LTZ,13844
16860,LT Z71,13844
16861,Z71,13844
16862,LS,13844
16863,LTZ BASE,13844
25271,LT SR/N/AV/DVD/COOL BOX,13844
25278,LT CHROME PK SR/N/AV/DVD/CBX,13844
16813,Z71,13838
16814,Z71  LEATHER,13838
16815,LT DVD\/COOL BOX,13838
16816,LS,13838
16817,LT Z71,13838
16818,LTZ,13838
16819,LTZ S\/R DVD\/N/AV,13838
16820,LT1,13838
16821,LT,13838
16822,LT2,13838
16823,LTZ DVD\/COOL BOX\/HF T\/GATE,13838
25268,LT CHROME PACK SR/N/AV/DVD,13838
25269,LT MIDNIGHT ED SR/DVD/N/AV,13838
25275,LT MIDNIGHT EDITION LTH,13838
25281,LT N/AV/DVD/COOL BOX,13838
25285,LT CHROME PACK,13838
25045,LS Z71 APPREARANCE PK,13838
23941,LT Z71 APPEARANCE PK,13838
16877,LT,13851
16878,LTZ,13851
16879,LS,13851
25934,LT Z71,13851
16887,LS,13853
16888,LT2 N/AV,13853
16889,LT1,13853
16890,LT2,13853
16891,LTZ,13853
23798,LT3,13853
16892,LT,13854
16893,LTZ,13854
16778,LS,13835
16772,STD,13832
16719,LIMITED,13808
16720,LX,13808
16721,TOURING,13808
16726,SRT8,13813
16727,SRT8 VAPOR PLUS,13813
16728,LIMITED PLUS,13813
16729,PLUS 2,13813
16730,W\/O SR,13813
16731,STD,13813
16732,LIMITED STD ,13813
16733,STD 2,13813
16734,SRT8 DVD,13813
16735,EXECUTIVE,13813
16736,SRT8 PLUS,13813
16737,PLUS,13813
16738,SRT8 VAPOR,13813
16739,EXECUTIVE PLUS,13813
16722,STD,13809
16724,STD,13811
16725,LIMITED,13812
16712,LX,13807
16713,SE,13807
16714,LIMITED,13807
16715,SE SPECIAL EDITION,13807
16716,TOURING,13807
16717,LIMITED S\/R N/AVIGATION,13807
16718,LX LTH,13807
16723,STD,13810
24259,COMFORTABLE,17920
24345,LUXURIOUS,17920
23989,DISTINGUISHED,17920
16745,LIMITED,13815
16746,TOURING,13815
16740,STD,13814
16741,LE,13814
16742,LX,13814
16743,LIMITED,13814
16744,TOURING,13814
16758,EXCLUSIVE,13821
16748,CONFORT,13817
16749,DYN/AMIQUE,13817
16750,STD,13817
16751,CONFORT,13818
16752,EXCLUSIVE,13818
16761,STD,13823
16755,ATTRACTION,13820
16756,CONFORT,13820
16757,EXCLUSIVE,13820
16759,SO CHIC,13822
16760,ULTRA PRESTIGE,13822
16747,SO CHIC,13816
16753,SPORT CHIC,13819
16754,SO CHIC,13819
18638,VERYCA,18213
20426,STD,18213
16762,STD,13824
19115,STD,18618
20027,STD,18513
21149,STD,21148
25294,STD,18019
19496,STD,19304
23687,STD,23477
24663,SEL,18049
21252,STD,19053
16919,TOP,13863
23583,STD,18056
24434,STD,17942
16920,BASE,13864
16921,TOP,13864
16922,EL,13864
16923,STD,13864
16924,DX 4x2,13865
16925,SX,13865
16926,SVP,13865
16927,DX 4x4,13865
16928,STD,13866
16930,SE,13868
16931,SXT,13868
16994,SXT TOP,13877
16995,SXT,13877
16996,SRT4,13877
16997,SE,13877
16998,R\/T,13877
16972,SE,13872
16973,RALLYE,13872
16974,SE SPORT II,13872
16975,SE SPORT,13872
16976,R\/T,13872
16977,HELLCAT,13872
16978,SCAT PACK,13872
16979,RALLYE 100 ANNIVERSARY,13872
16980,SRT8,13872
16981,SXT,13872
16982,R\/T 100 ANNIVERSARY,13872
16983,SXT PLUS,13872
24208,R/T PLUS SHAKER,13872
24708,SXT SUPER TRACK,13872
24778,SXT BLACKLINE,13872
23622,HELLCAT WIDEBODY,13872
23755,SUPER TRACK S,13872
23756,HELLCAT PLUS,13872
24058,SRT8 HIGHLINE,13872
16953,SE,13871
16954,R\/T PREFORMANCE,13871
16955,RALLYE 100 ANNIVERSARY,13871
16956,R\/T PERF DVD,13871
16957,RALLYE PLUS STD,13871
16958,R\/T TOP,13871
16959,R\/T ROAD TRACK,13871
16960,SRT8 SUPER Bee,13871
16961,R\/T  TOP DVD,13871
16962,SRT8,13871
16963,SXT PLUS,13871
16964,R\/T DAYTON/A,13871
16965,R\/T,13871
16966,RALLYE  PLUS,13871
16967,SXT TOP SUN ROOF N/AV DVD,13871
16968,R\/T PLUS,13871
16969,SXT,13871
16970,SXT TOP,13871
16971,SE SPORT,13871
21471,R\/T HIGHLINE,13871
21288,DAYTON/A,13871
24185,SE PLUS,13871
24334,SRT8 HIGHLINE,13871
24405,HELLCAT,13871
24684,SRT8 SCATPACK,13871
23699,SXT BLACKLINE,13871
16929,STD,13867
16950,SXT,13870
16951,LIMITED,13870
16952,RALLYE,13870
24224,ELEGANCE,17922
24524,ADVANCE,17922
25072,FLAGSHIP,17922
16932,EXPRESS,13869
16933,SLT (28E CONV PACK),13869
16934,CREW MM,13869
16935,CREW,13869
16936,R\/T,13869
16937,R\/T MM,13869
16938,CITADEL PLUS,13869
